BMC, af_shell3, 504855, 17562051, ABMC, 32, 1, 1, 32, 4, 4.369283905389e+08, 3.433323550615e+07, 7.857863267664e-02
BMC, af_shell3, 504855, 17562051, ABMC, 32, 1, 2, 32, 4, 4.369283905389e+08, 3.442177461852e+07, 7.878127254690e-02
BMC, af_shell3, 504855, 17562051, ABMC, 32, 1, 3, 32, 4, 4.369283905389e+08, 3.436201029700e+07, 7.864448967168e-02
BMC, af_shell3, 504855, 17562051, ABMC, 32, 2, 1, 32, 4, 4.369283905389e+08, 3.453051072448e+07, 7.903013736847e-02
BMC, af_shell3, 504855, 17562051, ABMC, 32, 2, 2, 32, 5, 4.369283905388e+08, 3.444989540634e+07, 7.884563272223e-02
BMC, af_shell3, 504855, 17562051, ABMC, 32, 2, 3, 32, 4, 4.369283905389e+08, 3.457280769481e+07, 7.912694263737e-02
BMC, af_shell3, 504855, 17562051, ABMC, 32, 3, 1, 32, 6, 4.369283905385e+08, 3.448329982214e+07, 7.892208556106e-02
BMC, af_shell3, 504855, 17562051, ABMC, 32, 3, 2, 32, 6, 4.369283905385e+08, 3.449462339623e+07, 7.894800187673e-02
BMC, af_shell3, 504855, 17562051, ABMC, 32, 3, 3, 32, 6, 4.369283905384e+08, 3.433133035469e+07, 7.857427234789e-02
BMC, af_shell3, 504855, 17562051, ABMC, 64, 1, 1, 64, 5, 4.369283905388e+08, 3.461447821035e+07, 7.922231413633e-02
BMC, af_shell3, 504855, 17562051, ABMC, 64, 1, 2, 64, 5, 4.369283905389e+08, 3.459311387968e+07, 7.917341749530e-02
BMC, af_shell3, 504855, 17562051, ABMC, 64, 1, 3, 64, 5, 4.369283905388e+08, 3.469916071452e+07, 7.941612736981e-02
BMC, af_shell3, 504855, 17562051, ABMC, 64, 2, 1, 64, 5, 4.369283905389e+08, 3.481857364319e+07, 7.968942828423e-02
BMC, af_shell3, 504855, 17562051, ABMC, 64, 2, 2, 64, 5, 4.369283905388e+08, 3.474745106452e+07, 7.952664971408e-02
BMC, af_shell3, 504855, 17562051, ABMC, 64, 2, 3, 64, 5, 4.369283905389e+08, 3.474204591690e+07, 7.951427892807e-02
BMC, af_shell3, 504855, 17562051, ABMC, 64, 3, 1, 64, 6, 4.369283905383e+08, 3.460039691176e+07, 7.919008620412e-02
BMC, af_shell3, 504855, 17562051, ABMC, 64, 3, 2, 64, 6, 4.369283905386e+08, 3.463974267112e+07, 7.928013702297e-02
BMC, af_shell3, 504855, 17562051, ABMC, 64, 3, 3, 64, 6, 4.369283905382e+08, 3.474473990261e+07, 7.952044466557e-02
BMC, af_shell3, 504855, 17562051, ABMC, 128, 1, 1, 128, 5, 4.369283905388e+08, 3.488530168502e+07, 7.984214905788e-02
BMC, af_shell3, 504855, 17562051, ABMC, 128, 1, 2, 128, 6, 4.369283905388e+08, 3.494028673679e+07, 7.996799359662e-02
BMC, af_shell3, 504855, 17562051, ABMC, 128, 1, 3, 128, 5, 4.369283905388e+08, 3.490181332071e+07, 7.987993931379e-02
BMC, af_shell3, 504855, 17562051, ABMC, 128, 2, 1, 128, 5, 4.369283905389e+08, 3.513053080675e+07, 8.040340606711e-02
BMC, af_shell3, 504855, 17562051, ABMC, 128, 2, 2, 128, 5, 4.369283905389e+08, 3.502833297864e+07, 8.016950543185e-02
BMC, af_shell3, 504855, 17562051, ABMC, 128, 2, 3, 128, 5, 4.369283905389e+08, 3.510731735769e+07, 8.035027734040e-02
BMC, af_shell3, 504855, 17562051, ABMC, 128, 3, 1, 128, 9, 4.369283905387e+08, 3.479170967856e+07, 7.962794460591e-02
BMC, af_shell3, 504855, 17562051, ABMC, 128, 3, 2, 128, 9, 4.369283905381e+08, 3.500507235910e+07, 8.011626874599e-02
BMC, af_shell3, 504855, 17562051, ABMC, 128, 3, 3, 128, 9, 4.369283905385e+08, 3.497492628490e+07, 8.004727328840e-02
BMC, af_shell3, 504855, 17562051, ABMC, 256, 1, 1, 256, 5, 4.369283905388e+08, 3.541921148755e+07, 8.106411085778e-02
BMC, af_shell3, 504855, 17562051, ABMC, 256, 1, 2, 256, 6, 4.369283905388e+08, 3.539467853212e+07, 8.100796217081e-02
BMC, af_shell3, 504855, 17562051, ABMC, 256, 1, 3, 256, 5, 4.369283905388e+08, 3.540769228675e+07, 8.103774681038e-02
BMC, af_shell3, 504855, 17562051, ABMC, 256, 2, 1, 256, 5, 4.369283905389e+08, 3.557866965223e+07, 8.142906348646e-02
BMC, af_shell3, 504855, 17562051, ABMC, 256, 2, 2, 256, 6, 4.369283905388e+08, 3.559892509062e+07, 8.147542220069e-02
BMC, af_shell3, 504855, 17562051, ABMC, 256, 2, 3, 256, 5, 4.369283905389e+08, 3.561250392656e+07, 8.150650014441e-02
BMC, af_shell3, 504855, 17562051, ABMC, 256, 3, 1, 256, 11, 4.369283905380e+08, 3.546089955142e+07, 8.115952251982e-02
BMC, af_shell3, 504855, 17562051, ABMC, 256, 3, 2, 256, 11, 4.369283905380e+08, 3.534239899472e+07, 8.088830975529e-02
BMC, af_shell3, 504855, 17562051, ABMC, 256, 3, 3, 256, 11, 4.369283905373e+08, 3.538801033506e+07, 8.099270063805e-02
BMC, af_shell3, 504855, 17562051, ABMC, 512, 1, 1, 512, 6, 4.369283905388e+08, 3.607313366291e+07, 8.256074552268e-02
BMC, af_shell3, 504855, 17562051, ABMC, 512, 1, 2, 512, 6, 4.369283905387e+08, 3.606898064082e+07, 8.255124048209e-02
BMC, af_shell3, 504855, 17562051, ABMC, 512, 1, 3, 512, 6, 4.369283905388e+08, 3.614798021455e+07, 8.273204716675e-02
BMC, af_shell3, 504855, 17562051, ABMC, 512, 2, 1, 512, 5, 4.369283905388e+08, 3.612112277491e+07, 8.267057842217e-02
BMC, af_shell3, 504855, 17562051, ABMC, 512, 2, 2, 512, 6, 4.369283905388e+08, 3.610446887877e+07, 8.263246257413e-02
BMC, af_shell3, 504855, 17562051, ABMC, 512, 2, 3, 512, 5, 4.369283905389e+08, 3.618891935207e+07, 8.282574475748e-02
BMC, af_shell3, 504855, 17562051, ABMC, 512, 3, 1, 512, 14, 4.369283905379e+08, 3.638760071283e+07, 8.328046769410e-02
BMC, af_shell3, 504855, 17562051, ABMC, 512, 3, 2, 512, 14, 4.369283905377e+08, 3.637154469659e+07, 8.324372021656e-02
BMC, af_shell3, 504855, 17562051, ABMC, 512, 3, 3, 512, 14, 4.369283905380e+08, 3.639299526422e+07, 8.329281422845e-02
BMC, af_shell3, 504855, 17562051, ABMC, 1024, 1, 1, 1022, 6, 4.369283905389e+08, 3.681345372167e+07, 8.425511941732e-02
BMC, af_shell3, 504855, 17562051, ABMC, 1024, 1, 2, 1022, 6, 4.369283905389e+08, 3.687620890468e+07, 8.439874749087e-02
BMC, af_shell3, 504855, 17562051, ABMC, 1024, 1, 3, 1022, 6, 4.369283905389e+08, 3.693759480622e+07, 8.453924168367e-02
BMC, af_shell3, 504855, 17562051, ABMC, 1024, 2, 1, 1022, 5, 4.369283905389e+08, 3.683493038511e+07, 8.430427315489e-02
BMC, af_shell3, 504855, 17562051, ABMC, 1024, 2, 2, 1022, 6, 4.369283905388e+08, 3.692539145778e+07, 8.451131182447e-02
BMC, af_shell3, 504855, 17562051, ABMC, 1024, 2, 3, 1022, 5, 4.369283905388e+08, 3.694229403713e+07, 8.454999683489e-02
BMC, af_shell3, 504855, 17562051, ABMC, 1024, 3, 1, 1022, 17, 4.369283905365e+08, 4.015114585720e+07, 9.189411062965e-02
BMC, af_shell3, 504855, 17562051, ABMC, 1024, 3, 2, 1022, 20, 4.369283905370e+08, 4.019679806919e+07, 9.199859505533e-02
BMC, af_shell3, 504855, 17562051, ABMC, 1024, 3, 3, 1022, 17, 4.369283905371e+08, 4.055300527484e+07, 9.281384811133e-02
BMC, ecology2, 999999, 4995991, ABMC, 32, 1, 1, 32, 5, 4.385128977902e+04, 4.090308773311e+03, 9.327681794361e-02
BMC, ecology2, 999999, 4995991, ABMC, 32, 1, 2, 32, 5, 4.385128977902e+04, 4.089941898700e+03, 9.326845160793e-02
BMC, ecology2, 999999, 4995991, ABMC, 32, 1, 3, 32, 5, 4.385128977902e+04, 4.090513753638e+03, 9.328149238599e-02
BMC, ecology2, 999999, 4995991, ABMC, 32, 2, 1, 32, 2, 4.385128977902e+04, 4.080918668737e+03, 9.306268274665e-02
BMC, ecology2, 999999, 4995991, ABMC, 32, 2, 2, 32, 2, 4.385128977902e+04, 4.080918668737e+03, 9.306268274665e-02
BMC, ecology2, 999999, 4995991, ABMC, 32, 2, 3, 32, 2, 4.385128977902e+04, 4.080918668737e+03, 9.306268274665e-02
