time, converged, iters, rel_resid, resid
3318, 1, 1240, 9.95271e-09, 9.95602e-09
3311, 1, 1240, 9.95845e-09, 9.96185e-09
3311, 1, 1240, 9.95845e-09, 9.96185e-09
3240, 1, 1240, 9.95785e-09, 9.96131e-09
3310, 1, 1240, 9.95742e-09, 9.96088e-09
3200, 1, 1240, 9.95271e-09, 9.95602e-09
3291, 1, 1240, 9.95738e-09, 9.96072e-09
3268, 1, 1240, 9.96707e-09, 9.97e-09
3221, 1, 1240, 9.96707e-09, 9.97e-09
3259, 1, 1240, 9.95845e-09, 9.96185e-09
